HGNC	criteria
MTMR4	'Age-related changes in gene expression, methylation or protein activity in humans'
MTO1	'Age-related changes in gene expression, methylation or protein activity in humans'
MTOR	'Changes in gene activity extend mammalian lifespan'
MTOR	'Regulation of genes associated with aging'
MTOR	'Changes in gene activity protect against age-related impairment'
MTOR	'Age-related changes in gene expression, methylation or protein activity'
MTOR	'Changes in gene activity extend non-mammalian lifespan'
MTOR	'Changes in gene activity enhance age-related deterioration'
MTOR	'Age-related changes in gene expression, methylation or protein activity in humans'
MTR	'Age-related changes in gene expression, methylation or protein activity in humans'
MTRR	'Regulation of genes associated with aging'
MTRR	'Age-related changes in gene expression, methylation or protein activity in humans'
MTSS1	'Age-related changes in gene expression, methylation or protein activity in humans'
MTTP	'Association of genetic variants and gene expression levels with longevity'
MTUS1	'Age-related changes in gene expression, methylation or protein activity in humans'
MTX2	'Age-related changes in gene expression, methylation or protein activity in humans'
MXD1	'Changes in gene activity extend non-mammalian lifespan'
MXD1	'Regulation of genes associated with aging'
MXD1	'Changes in gene activity reduce non-mammalian lifespan'
MXI1	'Age-related changes in gene expression, methylation or protein activity'
MXI1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
MXRA8	'Age-related changes in gene expression, methylation or protein activity'
MYBL1	'Age-related changes in gene expression, methylation or protein activity in humans'
MYC	'Changes in gene activity extend mammalian lifespan'
MYC	'Changes in gene activity protect against age-related impairment'
MYC	'Changes in gene activity reduce non-mammalian lifespan'
MYC	'Age-related changes in gene expression, methylation or protein activity in humans'
MYD88	'Age-related changes in gene expression, methylation or protein activity in humans'
MYH8	'Age-related changes in gene expression, methylation or protein activity in humans'
MYL10	'Age-related changes in gene expression, methylation or protein activity in humans'
MYL12A	'Age-related changes in gene expression, methylation or protein activity in humans'
MYO10	'Age-related changes in gene expression, methylation or protein activity in humans'
MYO18A	'Age-related changes in gene expression, methylation or protein activity in humans'
MYO6	'Age-related changes in gene expression, methylation or protein activity in humans'
MYOF	'Age-related changes in gene expression, methylation or protein activity in humans'
MZF1	'Age-related changes in gene expression, methylation or protein activity'
NAA38	'Age-related changes in gene expression, methylation or protein activity in humans'
NABP2	'Age-related changes in gene expression, methylation or protein activity in humans'
NAMPT	'Age-related changes in gene expression, methylation or protein activity in humans'
NAP1L1	'Age-related changes in gene expression, methylation or protein activity in humans'
NAP1L2	'Age-related changes in gene expression, methylation or protein activity in humans'
NAPA	'Age-related changes in gene expression, methylation or protein activity in humans'
NAPB	'Age-related changes in gene expression, methylation or protein activity in humans'
NAPG	'Age-related changes in gene expression, methylation or protein activity in humans'
NBN	'Regulation of genes associated with aging'
NBN	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
NBN	'Association of genetic variants and gene expression levels with longevity'
NBN	'Age-related changes in gene expression, methylation or protein activity in humans'
NBR1	'Age-related changes in gene expression, methylation or protein activity in humans'
NCAM2	'Association of genetic variants and gene expression levels with longevity'
NCBP2AS2	'Age-related changes in gene expression, methylation or protein activity in humans'
NCF4	'Age-related changes in gene expression, methylation or protein activity in humans'
NCK1	'Age-related changes in gene expression, methylation or protein activity in humans'
NCOA2	'Age-related changes in gene expression, methylation or protein activity in humans'
NCOA3	'Age-related changes in gene expression, methylation or protein activity in humans'
NCOR2	'Age-related changes in gene expression, methylation or protein activity'
NCOR2	'Regulation of genes associated with aging'
NCOR2	'Changes in gene activity reduce mammalian lifespan'
NCOR2	'Changes in gene activity enhance age-related deterioration'
NDC1	'Age-related changes in gene expression, methylation or protein activity in humans'
NDEL1	'Age-related changes in gene expression, methylation or protein activity in humans'
NDFIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
NDST1	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFA9	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFAF7	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFB10	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFB3	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFB8	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFS2	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFS3	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFS4	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFS5	'Age-related changes in gene expression, methylation or protein activity in humans'
NDUFV3	'Age-related changes in gene expression, methylation or protein activity in humans'
NEBL	'Age-related changes in gene expression, methylation or protein activity in humans'
NECAB3	'Age-related changes in gene expression, methylation or protein activity in humans'
NECTIN2	'Association of genetic variants and gene expression levels with longevity'
NECTIN3	'Age-related changes in gene expression, methylation or protein activity in humans'
NEDD4	'Age-related changes in gene expression, methylation or protein activity in humans'
NEK11	'Age-related changes in gene expression, methylation or protein activity in humans'
NEK7	'Age-related changes in gene expression, methylation or protein activity in humans'
NEK9	'Age-related changes in gene expression, methylation or protein activity in humans'
NELL2	'Age-related changes in gene expression, methylation or protein activity in humans'
NEU1	'Age-related changes in gene expression, methylation or protein activity in humans'
NF1	'Age-related changes in gene expression, methylation or protein activity in humans'
NFATC2	'Association of genetic variants and gene expression levels with longevity'
NFATC3	'Association of genetic variants and gene expression levels with longevity'
NFE2L1	'Changes in gene activity extend non-mammalian lifespan'
NFE2L1	'Changes in gene activity reduce non-mammalian lifespan'
NFE2L1	'Age-related changes in gene expression, methylation or protein activity in humans'
NFE2L2	'Age-related changes in gene expression, methylation or protein activity'
NFE2L2	'Regulation of genes associated with aging'
NFE2L2	'Changes in gene activity protect against age-related impairment'
NFE2L2	'Age-related changes in gene expression, methylation or protein activity in humans'
NFKB1	'Association of genetic variants and gene expression levels with longevity'
NFKB1	'Age-related changes in gene expression, methylation or protein activity'
NFKB1	'Changes in gene activity reduce mammalian lifespan'
NFKB1	'Changes in gene activity enhance age-related deterioration'
NFKB2	'Age-related changes in gene expression, methylation or protein activity'
NFKBIA	'Age-related changes in gene expression, methylation or protein activity'
NFKBIA	'Changes in gene activity extend mammalian lifespan'
NFKBIA	'Association of genetic variants and gene expression levels with longevity'
NFKBIA	'Age-related changes in gene expression, methylation or protein activity in humans'
NFX1	'Age-related changes in gene expression, methylation or protein activity in humans'
NFYA	'Age-related changes in gene expression, methylation or protein activity in humans'
NFYB	'Age-related changes in gene expression, methylation or protein activity in humans'
NFYC	'Age-related changes in gene expression, methylation or protein activity in humans'
NGB	'Age-related changes in gene expression, methylation or protein activity'
NGB	'Age-related changes in gene expression, methylation or protein activity in humans'
NGB	'Regulation of genes associated with aging'
NGB	'Changes in gene activity protect against age-related impairment'
NGB	'Changes in gene activity enhance age-related deterioration'
NGF	'Age-related changes in gene expression, methylation or protein activity'
NGF	'Age-related changes in gene expression, methylation or protein activity in humans'
NGF	'Regulation of genes associated with aging'
NGF	'Changes in gene activity protect against age-related impairment'
NGFR	'Regulation of genes associated with aging'
NGFR	'Changes in gene activity protect against age-related impairment'
NGFR	'Age-related changes in gene expression, methylation or protein activity in humans'
NHLRC1	'Age-related changes in gene expression, methylation or protein activity in humans'
NIPBL	'Age-related changes in gene expression, methylation or protein activity in humans'
NIPBL	'Regulation of genes associated with aging'
NIPBL	'Changes in gene activity enhance age-related deterioration'
NIPSNAP1	'Regulation of genes associated with aging'
NIPSNAP1	'Age-related changes in gene expression, methylation or protein activity'
NIPSNAP1	'Changes in gene activity enhance age-related deterioration'
NIPSNAP3B	'Age-related changes in gene expression, methylation or protein activity in humans'
NISCH	'Age-related changes in gene expression, methylation or protein activity in humans'
NKTR	'Age-related changes in gene expression, methylation or protein activity in humans'
NKX2-2	'Age-related changes in gene expression, methylation or protein activity in humans'
NKX3-1	'Age-related changes in gene expression, methylation or protein activity in humans'
NLRC5	'Association of genetic variants and gene expression levels with longevity'
NLRP1	'Age-related changes in gene expression, methylation or protein activity in humans'
NLRP3	'Changes in gene activity extend mammalian lifespan'
NLRP3	'Changes in gene activity protect against age-related impairment'
NLRP3	'Age-related changes in gene expression, methylation or protein activity'
NMB	'Age-related changes in gene expression, methylation or protein activity in humans'
NME1	'Age-related changes in gene expression, methylation or protein activity in humans'
NME2	'Age-related changes in gene expression, methylation or protein activity in humans'
NME3	'Age-related changes in gene expression, methylation or protein activity in humans'
NNMT	'Age-related changes in gene expression, methylation or protein activity in humans'
NNT	'Age-related changes in gene expression, methylation or protein activity in humans'
NOG	'Age-related changes in gene expression, methylation or protein activity'
NOP56	'Age-related changes in gene expression, methylation or protein activity in humans'
NOS1	'Association of genetic variants and gene expression levels with longevity'
NOS1AP	'Association of genetic variants and gene expression levels with longevity'
NOS3	'Changes in gene activity protect against age-related impairment'
NOS3	'Changes in gene activity reduce mammalian lifespan'
NOS3	'Changes in gene activity enhance age-related deterioration'
NOTCH1	'Changes in gene activity extend non-mammalian lifespan'
NOTCH1	'Changes in gene activity protect against age-related impairment'
NOTCH2	'Changes in gene activity extend non-mammalian lifespan'
NOTCH2	'Changes in gene activity protect against age-related impairment'
NOTCH3	'Changes in gene activity extend non-mammalian lifespan'
NOTCH3	'Association of genetic variants and gene expression levels with longevity'
NOTCH3	'Changes in gene activity protect against age-related impairment'
NOTCH4	'Association of genetic variants and gene expression levels with longevity'
NOX4	'Age-related changes in gene expression, methylation or protein activity'
NOX4	'Age-related changes in gene expression, methylation or protein activity in humans'
NOX4	'Regulation of genes associated with aging'
NOX4	'Changes in gene activity enhance age-related deterioration'
NPC1	'Age-related changes in gene expression, methylation or protein activity in humans'
NPM1	'Age-related changes in gene expression, methylation or protein activity in humans'
NR1D1	'Age-related changes in gene expression, methylation or protein activity in humans'
NR1D2	'Age-related changes in gene expression, methylation or protein activity in humans'
NR2C2	'Age-related changes in gene expression, methylation or protein activity in humans'
NR2F2	'Age-related changes in gene expression, methylation or protein activity in humans'
NR3C1	'Association of genetic variants and gene expression levels with longevity'
NR3C1	'Age-related changes in gene expression, methylation or protein activity'
NR3C1	'Changes in gene activity reduce mammalian lifespan'
NR3C1	'Changes in gene activity enhance age-related deterioration'
NR4A1	'Age-related changes in gene expression, methylation or protein activity in humans'
NR4A2	'Age-related changes in gene expression, methylation or protein activity in humans'
NR4A3	'Age-related changes in gene expression, methylation or protein activity in humans'
NRCAM	'Age-related changes in gene expression, methylation or protein activity in humans'
NRG1	'Age-related changes in gene expression, methylation or protein activity'
NRG1	'Regulation of genes associated with aging'
NRG1	'Changes in gene activity enhance age-related deterioration'
NRG1	'Changes in gene activity protect against age-related impairment'
NRIP1	'Changes in gene activity extend mammalian lifespan'
NRIP1	'Age-related changes in gene expression, methylation or protein activity'
NRIP1	'Changes in gene activity protect against age-related impairment'
NRIP1	'Changes in gene activity enhance age-related deterioration'
NRM	'Age-related changes in gene expression, methylation or protein activity in humans'
NRXN1	'Age-related changes in gene expression, methylation or protein activity in humans'
NSF	'Age-related changes in gene expression, methylation or protein activity in humans'
NSG1	'Age-related changes in gene expression, methylation or protein activity in humans'
NT5C2	'Age-related changes in gene expression, methylation or protein activity in humans'
NTMT1	'Age-related changes in gene expression, methylation or protein activity in humans'
NUDT1	'Changes in gene activity extend mammalian lifespan'
NUDT1	'Age-related changes in gene expression, methylation or protein activity'
NUDT1	'Changes in gene activity protect against age-related impairment'
NUDT12	'Association of genetic variants and gene expression levels with longevity'
NUDT21	'Age-related changes in gene expression, methylation or protein activity in humans'
NUDT4	'Age-related changes in gene expression, methylation or protein activity in humans'
NUDT6	'Age-related changes in gene expression, methylation or protein activity in humans'
NUDT8	'Age-related changes in gene expression, methylation or protein activity in humans'
NUMA1	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP153	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP188	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP43	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP50	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP58	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP62	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP88	'Age-related changes in gene expression, methylation or protein activity in humans'
NUP98	'Age-related changes in gene expression, methylation or protein activity in humans'
NUSAP1	'Age-related changes in gene expression, methylation or protein activity in humans'
NUTF2	'Age-related changes in gene expression, methylation or protein activity in humans'
NXT2	'Age-related changes in gene expression, methylation or protein activity in humans'
OAS2	'Age-related changes in gene expression, methylation or protein activity in humans'
OCRL	'Age-related changes in gene expression, methylation or protein activity in humans'
OFD1	'Age-related changes in gene expression, methylation or protein activity in humans'
OGFOD2	'Age-related changes in gene expression, methylation or protein activity in humans'
OGG1	'Age-related changes in gene expression, methylation or protein activity in humans'
OGT	'Age-related changes in gene expression, methylation or protein activity in humans'
OLFM1	'Age-related changes in gene expression, methylation or protein activity in humans'
OLFM4	'Association of genetic variants and gene expression levels with longevity'
OLIG2	'Age-related changes in gene expression, methylation or protein activity in humans'
OPN3	'Age-related changes in gene expression, methylation or protein activity'
OPN3	'Age-related changes in gene expression, methylation or protein activity in humans'
OPN3	'Regulation of genes associated with aging'
OPN3	'Changes in gene activity protect against age-related impairment'
OPN3	'Changes in gene activity enhance age-related deterioration'
OR10C1	'Age-related changes in gene expression, methylation or protein activity in humans'
ORC5	'Age-related changes in gene expression, methylation or protein activity in humans'
OSBPL3	'Age-related changes in gene expression, methylation or protein activity in humans'
OSBPL8	'Age-related changes in gene expression, methylation or protein activity in humans'
OSBPL9	'Age-related changes in gene expression, methylation or protein activity in humans'
OTOL1	'Association of genetic variants and gene expression levels with longevity'
OTUD4	'Age-related changes in gene expression, methylation or protein activity in humans'
OXA1L	'Age-related changes in gene expression, methylation or protein activity in humans'
P2RX5	'Age-related changes in gene expression, methylation or protein activity in humans'
P2RY14	'Age-related changes in gene expression, methylation or protein activity in humans'
PABPC4	'Age-related changes in gene expression, methylation or protein activity in humans'
PACS1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAFAH1B1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAFAH1B3	'Age-related changes in gene expression, methylation or protein activity in humans'
PAIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAK1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAK1IP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PALLD	'Age-related changes in gene expression, methylation or protein activity in humans'
PAM	'Age-related changes in gene expression, methylation or protein activity in humans'
PANK3	'Age-related changes in gene expression, methylation or protein activity in humans'
PANK4	'Age-related changes in gene expression, methylation or protein activity in humans'
PANX1	'Age-related changes in gene expression, methylation or protein activity in humans'
PANX2	'Age-related changes in gene expression, methylation or protein activity in humans'
PAPOLA	'Age-related changes in gene expression, methylation or protein activity in humans'
PAPPA	'Changes in gene activity extend mammalian lifespan'
PAPPA	'Age-related changes in gene expression, methylation or protein activity'
PAPPA	'Regulation of genes associated with aging'
PAPPA	'Changes in gene activity protect against age-related impairment'
PAPPA	'Association of genetic variants and gene expression levels with longevity'
PAPSS1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAQR9	'Age-related changes in gene expression, methylation or protein activity in humans'
PARD6A	'Age-related changes in gene expression, methylation or protein activity in humans'
PARK7	'Association of genetic variants and gene expression levels with longevity'
PARP1	'Association of genetic variants and gene expression levels with longevity'
PARP1	'Age-related changes in gene expression, methylation or protein activity'
PARP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PARP1	'Regulation of genes associated with aging'
PARP1	'Changes in gene activity protect against age-related impairment'
PARP1	'Changes in gene activity reduce mammalian lifespan'
PARP1	'Changes in gene activity enhance age-related deterioration'
PARVG	'Association of genetic variants and gene expression levels with longevity'
PATZ1	'Age-related changes in gene expression, methylation or protein activity in humans'
PAWR	'Changes in gene activity extend mammalian lifespan'
PAWR	'Changes in gene activity protect against age-related impairment'
PAWR	'Changes in gene activity reduce mammalian lifespan'
PAWR	'Changes in gene activity enhance age-related deterioration'
PBXIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PCBD1	'Age-related changes in gene expression, methylation or protein activity in humans'
PCBD2	'Age-related changes in gene expression, methylation or protein activity in humans'
PCCA	'Age-related changes in gene expression, methylation or protein activity in humans'
PCDH17	'Age-related changes in gene expression, methylation or protein activity in humans'
PCGF2	'Age-related changes in gene expression, methylation or protein activity in humans'
PCK1	'Changes in gene activity extend non-mammalian lifespan'
PCK1	'Age-related changes in gene expression, methylation or protein activity'
PCK1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
PCK1	'Changes in gene activity reduce non-mammalian lifespan'
PCK1	'Changes in gene activity extend mammalian lifespan'
PCK1	'Changes in gene activity protect against age-related impairment'
PCMT1	'Age-related changes in gene expression, methylation or protein activity'
PCMT1	'Changes in gene activity extend non-mammalian lifespan'
PCMT1	'Age-related changes in gene expression, methylation or protein activity in humans'
PCMT1	'Changes in gene activity reduce non-mammalian lifespan'
PCNA	'Age-related changes in gene expression, methylation or protein activity'
PCNT	'Age-related changes in gene expression, methylation or protein activity in humans'
PCSK9	'Age-related changes in gene expression, methylation or protein activity in humans'
PCTP	'Age-related changes in gene expression, methylation or protein activity in humans'
PDCD4	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE3B	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE4A	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE4B	'Association of genetic variants and gene expression levels with longevity'
PDE4B	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE4D	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE4DIP	'Age-related changes in gene expression, methylation or protein activity in humans'
PDE9A	'Age-related changes in gene expression, methylation or protein activity in humans'
PDGFB	'Age-related changes in gene expression, methylation or protein activity'
PDGFB	'Regulation of genes associated with aging'
PDGFB	'Age-related changes in gene expression, methylation or protein activity in humans'
PDGFRA	'Age-related changes in gene expression, methylation or protein activity'
PDGFRA	'Regulation of genes associated with aging'
PDGFRB	'Association of the gene with accelerated aging in humans'
PDGFRB	'Age-related changes in gene expression, methylation or protein activity'
PDGFRB	'Changes in gene activity enhance age-related deterioration'
PDHA1	'Age-related changes in gene expression, methylation or protein activity in humans'
PDHB	'Age-related changes in gene expression, methylation or protein activity'
PDHB	'Changes in gene activity reduce non-mammalian lifespan'
PDHB	'Changes in gene activity enhance age-related deterioration'
PDHB	'Age-related changes in gene expression, methylation or protein activity in humans'
PDK1	'Age-related changes in gene expression, methylation or protein activity in humans'
PDK3	'Age-related changes in gene expression, methylation or protein activity in humans'
PDLIM5	'Age-related changes in gene expression, methylation or protein activity in humans'
PDS5A	'Age-related changes in gene expression, methylation or protein activity in humans'
PDSS1	'Age-related changes in gene expression, methylation or protein activity in humans'
PECAM1	'Age-related changes in gene expression, methylation or protein activity in humans'
PECR	'Age-related changes in gene expression, methylation or protein activity in humans'
PEDS1	'Age-related changes in gene expression, methylation or protein activity in humans'
PENK	'Age-related changes in gene expression, methylation or protein activity in humans'
PER2	'Changes in gene activity extend mammalian lifespan'
PER2	'Changes in gene activity protect against age-related impairment'
PERP	'Age-related changes in gene expression, methylation or protein activity in humans'
PET117	'Age-related changes in gene expression, methylation or protein activity in humans'
PEX1	'Age-related changes in gene expression, methylation or protein activity in humans'
PEX16	'Age-related changes in gene expression, methylation or protein activity in humans'
PEX5	'Age-related changes in gene expression, methylation or protein activity'
PEX5	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
PEX5	'Changes in gene activity extend non-mammalian lifespan'
PFDN4	'Age-related changes in gene expression, methylation or protein activity in humans'
PFKFB1	'Age-related changes in gene expression, methylation or protein activity in humans'
PFKM	'Association of genetic variants and gene expression levels with longevity'
PGGT1B	'Association of genetic variants and gene expression levels with longevity'
PGK1	'Age-related changes in gene expression, methylation or protein activity in humans'
PGM5	'Age-related changes in gene expression, methylation or protein activity in humans'
PGP	'Association of genetic variants and gene expression levels with longevity'
PGPEP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PHF20	'Age-related changes in gene expression, methylation or protein activity in humans'
PHF3	'Age-related changes in gene expression, methylation or protein activity in humans'
PHLDA1	'Age-related changes in gene expression, methylation or protein activity in humans'
PHLPP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PHTF2	'Age-related changes in gene expression, methylation or protein activity in humans'
PICALM	'Age-related changes in gene expression, methylation or protein activity in humans'
PIERCE1	'Age-related changes in gene expression, methylation or protein activity in humans'
PIGK	'Age-related changes in gene expression, methylation or protein activity in humans'
PIGP	'Age-related changes in gene expression, methylation or protein activity in humans'
PIK3C2A	'Age-related changes in gene expression, methylation or protein activity in humans'
PIK3CA	'Changes in gene activity extend mammalian lifespan'
PIK3CA	'Regulation of genes associated with aging'
PIK3CA	'Changes in gene activity extend non-mammalian lifespan'
PIK3CA	'Changes in gene activity reduce non-mammalian lifespan'
PIK3CB	'Changes in gene activity extend non-mammalian lifespan'
PIK3CB	'Changes in gene activity reduce non-mammalian lifespan'
PIK3CD	'Changes in gene activity extend non-mammalian lifespan'
PIK3CD	'Changes in gene activity reduce non-mammalian lifespan'
PIK3R1	'Age-related changes in gene expression, methylation or protein activity'
PIK3R1	'Association of genetic variants and gene expression levels with longevity'
PIN1	'Regulation of genes associated with aging'
PIN1	'Changes in gene activity enhance age-related deterioration'
PIP4K2B	'Age-related changes in gene expression, methylation or protein activity in humans'
PITPNA	'Age-related changes in gene expression, methylation or protein activity in humans'
PITPNB	'Age-related changes in gene expression, methylation or protein activity in humans'
PITPNM1	'Age-related changes in gene expression, methylation or protein activity in humans'
PKHD1	'Association of genetic variants and gene expression levels with longevity'
PKM	'Age-related changes in gene expression, methylation or protein activity in humans'
PKN2	'Association of genetic variants and gene expression levels with longevity'
PLA2G4B	'Age-related changes in gene expression, methylation or protein activity in humans'
PLAG1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLAGL1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLAU	'Changes in gene activity extend mammalian lifespan'
PLAU	'Changes in gene activity protect against age-related impairment'
PLCB1	'Association of genetic variants and gene expression levels with longevity'
PLCB4	'Association of genetic variants and gene expression levels with longevity'
PLCE1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLCG2	'Association of genetic variants and gene expression levels with longevity'
PLCH1	'Association of genetic variants and gene expression levels with longevity'
PLCL1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLCL2	'Age-related changes in gene expression, methylation or protein activity in humans'
PLD3	'Age-related changes in gene expression, methylation or protein activity in humans'
PLEK	'Age-related changes in gene expression, methylation or protein activity in humans'
PLIN3	'Age-related changes in gene expression, methylation or protein activity in humans'
PLP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLPP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLSCR3	'Age-related changes in gene expression, methylation or protein activity in humans'
PLXNB1	'Age-related changes in gene expression, methylation or protein activity in humans'
PLXNC1	'Age-related changes in gene expression, methylation or protein activity in humans'
PMAIP1	'Age-related changes in gene expression, methylation or protein activity in humans'
PMCH	'Regulation of genes associated with aging'
PMCH	'Changes in gene activity protect against age-related impairment'
PMF1	'Association of genetic variants and gene expression levels with longevity'
PML	'Age-related changes in gene expression, methylation or protein activity'
PML	'Age-related changes in gene expression, methylation or protein activity in humans'
PML	'Regulation of genes associated with aging'
PML	'Changes in gene activity protect against age-related impairment'
PMP22	'Age-related changes in gene expression, methylation or protein activity in humans'
PNKP	'Age-related changes in gene expression, methylation or protein activity in humans'
PNPLA6	'Age-related changes in gene expression, methylation or protein activity in humans'
PODXL	'Age-related changes in gene expression, methylation or protein activity in humans'
POLA1	'Age-related changes in gene expression, methylation or protein activity'
POLB	'Age-related changes in gene expression, methylation or protein activity'
POLB	'Changes in gene activity enhance age-related deterioration'
POLB	'Association of genetic variants and gene expression levels with longevity'
POLD1	'Age-related changes in gene expression, methylation or protein activity'
POLD1	'Age-related changes in gene expression, methylation or protein activity in humans'
POLD4	'Age-related changes in gene expression, methylation or protein activity in humans'
POLE4	'Age-related changes in gene expression, methylation or protein activity in humans'
POLG	'Age-related changes in gene expression, methylation or protein activity'
POLG	'Regulation of genes associated with aging'
POLG	'Changes in gene activity reduce mammalian lifespan'
POLG	'Changes in gene activity enhance age-related deterioration'
POLI	'Age-related changes in gene expression, methylation or protein activity in humans'
POLR1F	'Age-related changes in gene expression, methylation or protein activity in humans'
POLR2J2	'Age-related changes in gene expression, methylation or protein activity in humans'
POLR3K	'Age-related changes in gene expression, methylation or protein activity in humans'
POLRMT	'Age-related changes in gene expression, methylation or protein activity in humans'
POM121C	'Association of genetic variants and gene expression levels with longevity'
POMT1	'Age-related changes in gene expression, methylation or protein activity in humans'
PON1	'Association of genetic variants and gene expression levels with longevity'
PON1	'Age-related changes in gene expression, methylation or protein activity'
PON1	'Age-related changes in gene expression, methylation or protein activity in humans'
PON2	'Age-related changes in gene expression, methylation or protein activity in humans'
POP5	'Age-related changes in gene expression, methylation or protein activity in humans'
PORCN	'Age-related changes in gene expression, methylation or protein activity'
POU1F1	'Changes in gene activity extend mammalian lifespan'
POU1F1	'Changes in gene activity protect against age-related impairment'
POU5F1	'Regulation of genes associated with aging'
POU5F1	'Changes in gene activity protect against age-related impairment'
PPARA	'Age-related changes in gene expression, methylation or protein activity'
PPARA	'Regulation of genes associated with aging'
PPARA	'Changes in gene activity protect against age-related impairment'
PPARA	'Changes in gene activity reduce mammalian lifespan'
PPARA	'Changes in gene activity enhance age-related deterioration'
PPARG	'Association of genetic variants and gene expression levels with longevity'
PPARG	'Changes in gene activity extend mammalian lifespan'
PPARG	'Age-related changes in gene expression, methylation or protein activity'
PPARG	'Regulation of genes associated with aging'
PPARG	'Changes in gene activity protect against age-related impairment'
PPARG	'Changes in gene activity reduce mammalian lifespan'
PPARG	'Changes in gene activity enhance age-related deterioration'
PPARGC1A	'Changes in gene activity extend non-mammalian lifespan'
PPARGC1A	'Age-related changes in gene expression, methylation or protein activity'
PPARGC1A	'Age-related changes in gene expression, methylation or protein activity in humans'
PPARGC1A	'Regulation of genes associated with aging'
PPARGC1A	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
PPARGC1A	'Changes in gene activity protect against age-related impairment'
PPARGC1A	'Changes in gene activity reduce non-mammalian lifespan'
PPARGC1A	'Association of genetic variants and gene expression levels with longevity'
PPFIA1	'Age-related changes in gene expression, methylation or protein activity in humans'
PPIA	'Age-related changes in gene expression, methylation or protein activity in humans'
PPIC	'Age-related changes in gene expression, methylation or protein activity in humans'
PPIF	'Age-related changes in gene expression, methylation or protein activity in humans'
PPM1B	'Age-related changes in gene expression, methylation or protein activity in humans'
PPM1D	'Age-related changes in gene expression, methylation or protein activity'
PPM1D	'Regulation of genes associated with aging'
PPM1D	'Changes in gene activity protect against age-related impairment'
PPM1D	'Changes in gene activity reduce mammalian lifespan'
PPM1D	'Changes in gene activity enhance age-related deterioration'
PPM1E	'Age-related changes in gene expression, methylation or protein activity in humans'
PPM1H	'Age-related changes in gene expression, methylation or protein activity in humans'
PPP1CA	'Regulation of genes associated with aging'
PPP1CA	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
PPP1CA	'Changes in gene activity reduce mammalian lifespan'
PPP1CA	'Changes in gene activity protect against age-related impairment'
PPP1R13B	'Age-related changes in gene expression, methylation or protein activity in humans'
PPP1R2	'Age-related changes in gene expression, methylation or protein activity in humans'
PPP2R1A	'Association of genetic variants and gene expression levels with longevity'
PPP2R2C	'Association of genetic variants and gene expression levels with longevity'
PPP2R5C	'Age-related changes in gene expression, methylation or protein activity in humans'
PPP3R1	'Age-related changes in gene expression, methylation or protein activity in humans'
PRDX1	'Changes in gene activity reduce mammalian lifespan'
PRDX1	'Changes in gene activity enhance age-related deterioration'
PRDX1	'Changes in gene activity extend non-mammalian lifespan'
PRDX1	'Changes in gene activity reduce non-mammalian lifespan'
PRDX1	'Changes in gene activity protect against age-related impairment'
PRDX3	'Association of genetic variants and gene expression levels with longevity'
PRDX6	'Age-related changes in gene expression, methylation or protein activity in humans'
PREPL	'Age-related changes in gene expression, methylation or protein activity in humans'
